# Design Points of Design of Experiments
# Custom
# ,P1 - Young's Modulus Y direction (Pa) ,P3 - foundation stiffnez,P10 - bearings,P4 - Total Deformation Reported Frequency (Hz) ,P5 - Total Deformation 2 Reported Frequency (Hz) ,P6 - Total Deformation 3 Reported Frequency (Hz) ,P7 - Total Deformation 4 Reported Frequency (Hz) ,P8 - Total Deformation 5 Reported Frequency (Hz) ,P9 - Total Deformation 6 Reported Frequency (Hz) 
Name,P1,P3,P10,P4,P5,P6,P7,P8,P9
63,187695312.5,1174804687.5,799609375,0,53.262788232662494,74.329320487703583,91.524875460996441,114.84483875957525,118.95408444113959
64,187695312.5,875976562.5,526171875,0,52.749086115523767,67.954288007194975,85.65180267909129,105.53584389500391,112.39325245867575
65,216601562.5,875976562.5,799609375,0,52.749371450015396,68.70183010271171,88.554605615202718,105.61294089530125,116.81199368914685
66,287695312.5,674804687.5,726171875,0,52.114572787536723,63.256024800923491,84.645492593015419,97.751186109996524,114.3433690529522
67,116601562.5,674804687.5,726171875,0,52.114539404552865,63.247299590112171,84.602375931336454,97.750997877937067,114.24735900012284
68,287695312.5,674804687.5,599609375,0,52.114403133113655,63.027806577205666,83.584125580603612,97.72557694494192,112.24636709237544
69,287695312.5,1375976562.5,726171875,0,53.475022906262218,76.857446618402278,92.0938631039202,119.56336873918248,119.87225818983495
70,116601562.5,1375976562.5,599609375,0,53.474913280185582,76.242816518704942,90.39704317069986,117.75299845715399,119.81490020453616
71,237695312.5,1424804687.5,426171875,0,53.5166796069853,75.3268767414684,87.053137923034782,114.71642881582709,120.78260218118027
72,266601562.5,1424804687.5,426171875,0,53.516691171277941,75.331272871471768,87.063397444421341,114.72646574497188,120.78275457431651
73,237695312.5,1424804687.5,499609375,0,53.516768353794724,76.0852253238981,88.844712096670236,116.37640822169426,120.85737353510447
74,237695312.5,1125976562.5,426171875,0,53.198608066199604,71.769494066650566,85.684678805863456,112.10939435573702,113.31899772156582
75,266601562.5,1125976562.5,499609375,0,53.198731675382668,72.351313206112664,87.347830648508008,113.3756814068504,113.96578590181092
76,137695312.5,924804687.5,626171875,0,52.857920157845967,69.352626034941892,87.534573946931445,107.25176531777542,114.72703061003072
77,166601562.5,924804687.5,626171875,0,52.857919934483036,69.354925900350068,87.543574540385336,107.25174961442794,114.74125714441347
78,137695312.5,924804687.5,699609375,0,52.85798741871168,69.558762681249675,88.310892441443414,107.27275051382685,115.86358498575316
79,137695312.5,625976562.5,626171875,0,51.890768114623711,61.5338636403933,82.745248357662717,95.565315862603086,112.24392567796133
80,166601562.5,625976562.5,699609375,0,51.890875480081576,61.652952495332748,83.3226832524821,95.5788817589786,113.48030360176719
81,125195312.5,1487304687.5,551171875,0,53.566221793295611,77.115713831010169,90.058017558453258,117.77250582645432,122.26246411770373
82,104101562.5,1487304687.5,551171875,0,53.566232723682845,77.112798406197129,90.050522956197938,117.76462883615642,122.26267070923346
83,125195312.5,1487304687.5,424609375,0,53.56608810386529,75.877245396567361,87.181860653749,115.1584188175275,122.14098738456127
84,125195312.5,563476562.5,551171875,0,51.540153122702719,59.229159237920079,80.483198709139842,92.598889431500538,110.15425190972587
85,104101562.5,563476562.5,424609375,0,51.539766442004137,58.888875014017,78.827488156191066,92.558744845803,106.6350921198659
86,225195312.5,987304687.5,751171875,0,52.980131375271753,70.956572462293693,89.486970852466357,109.32916433629435,117.06696677579416
87,204101562.5,987304687.5,751171875,0,52.98012476556611,70.9546815520582,89.479708469481849,109.32911259959472,117.05561390690869
88,225195312.5,987304687.5,624609375,0,52.980030791335082,70.5958736193509,88.1821152401451,109.29304962829876,115.24200248366104
89,225195312.5,1063476562.5,751171875,0,53.107958318652834,72.3693684908845,90.215015928598376,111.67123900956521,117.62756657893038
90,204101562.5,1063476562.5,624609375,0,53.107858931988822,71.9692827037729,88.848164434365245,111.63202398764435,115.8296079136943
91,275195312.5,1237304687.5,451171875,0,53.336380997009094,73.511230917908733,86.9270950891496,113.76679757283188,116.32894617272383
92,154101562.5,1237304687.5,451171875,0,53.3363464837058,73.495815710173218,86.885658930931513,113.72061811184741,116.3285806474114
93,275195312.5,1237304687.5,724609375,0,53.336627269812553,75.042704507102769,91.282129402362017,116.47688778612596,118.57663985868923
94,275195312.5,1313476562.5,451171875,0,53.416268305003349,74.428594823526709,87.28376966891,114.41380296387049,118.22675411021402
95,154101562.5,1313476562.5,724609375,0,53.41646605466434,76.055784375174781,91.689821131447616,118.38386463096634,119.0516328527586
96,175195312.5,737304687.5,651171875,0,52.352892766726711,64.935339647245442,85.218236237800284,100.34902525983601,113.64148464653545
97,254101562.5,737304687.5,651171875,0,52.352916669595466,64.940080459368161,85.239851442337809,100.34917466793419,113.68374647014731
